date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01 00:00:00,4.1,0,7,,,,18.5,,1013,
2016-01-02 00:00:00,8.2,7,10,,,,19.3,,997.9,
2016-01-03 00:00:00,7,5,8,,,,14.9,,985.6,
2016-01-04 00:00:00,6.6,6,7,,,,13.3,,979,
2016-01-05 00:00:00,7,5,8,,,,8.7,,984.1,
2016-01-06 00:00:00,5.4,3,8,,,,8.3,,992.8,
2016-01-07 00:00:00,5.8,3,7,,,,24.7,,986.3,
2016-01-08 00:00:00,4.6,2,7,,,,15.8,,994.4,
2016-01-09 00:00:00,6.8,5,9,,,,18,,983.6,
2016-01-10 00:00:00,4.7,3,7,,,,23.5,,979.1,
2016-01-11 00:00:00,3.5,2,5,,,,7.4,,,
2016-01-12 00:00:00,5,4,7,,,,20.4,,996.6,
2016-01-13 00:00:00,3.3,1,5,,,,15.4,,1008.7,
2016-01-14 00:00:00,2,0,3,,,,18.3,,1007.4,
2016-01-15 00:00:00,1.8,-1,5,,,,10,,,
2016-01-16 00:00:00,-0.8,-3,2,,,,5.8,,,
2016-01-17 00:00:00,1.4,0,2,,,,15.3,,1021.8,
2016-01-18 00:00:00,3.7,3,4,,,,13.5,,1013.4,
2016-01-19 00:00:00,3.3,1,5,,,,5,,1016.4,
2016-01-20 00:00:00,2.8,-1,5,,,,6.4,,1019.2,
2016-01-21 00:00:00,3.4,1,6,,,,18.9,,1016.6,
2016-01-22 00:00:00,7.6,6,11,,,,24.2,,1012.2,
2016-01-23 00:00:00,7.3,5,9,,,,19.7,,1023.4,
2016-01-24 00:00:00,12.2,9,14,,,,19.9,,1020.8,
2016-01-25 00:00:00,10.6,6,14,,,,25.3,,,
2016-01-26 00:00:00,9.5,6,12,,,,32,,,
2016-01-27 00:00:00,9.9,4,13,,,,29.3,,,
2016-01-28 00:00:00,5.4,1,10,,,,24.5,,,
2016-01-29 00:00:00,10.4,8,12,,,,31.9,,,
2016-01-30 00:00:00,4.4,2,8,,,,29.3,,,
2016-01-31 00:00:00,6.7,2,12,,,,18.4,,1004.2,
2016-02-01 00:00:00,10.8,8,13,,,,34.6,,1007.7,
